SEX,FIRST NAME,NUMBER OF OCCURRENCES
GIRL,ANDERSON,1
GIRL,ANDERSYN,1
GIRL,ANDI,2
GIRL,ANDIS,1
GIRL,ANDREA,21
GIRL,ANEIRA,1
GIRL,ANGEL,2
GIRL,ANGELA,6
GIRL,ANGELIA,1
GIRL,ANGELINA,5
GIRL,ANGELINE,2
GIRL,ANGELIQUE,5
GIRL,ANGELY,1
GIRL,ANGELYZ,1
GIRL,ANGIE,2
GIRL,ANGIELINE,1
GIRL,ANIAH,2
GIRL,ANIKA,7
GIRL,ANISA,1
GIRL,ANISSIA,1
GIRL,ANIYA,1
GIRL,ANIYAH,8
GIRL,ANIYLAA,1
GIRL,ANJEL,1
GIRL,ANN,3
GIRL,ANN LUCIA,1
GIRL,ANNA,10
GIRL,ANNA ANH,1
GIRL,ANNA KATE,1
GIRL,ANNABEL,2
GIRL,ANNABELL,1
GIRL,ANNABELLA,3
GIRL,ANNABELLE,12
GIRL,ANNABETH,2
GIRL,ANNAEL,1
GIRL,ANNAELLE,1
GIRL,ANNAIS,1
GIRL,ANNALEAH,1
GIRL,ANNALEE,3
GIRL,ANNALISA,1
GIRL,ANNALISE,3
GIRL,ANNALY,1
GIRL,ANNALYN,1
GIRL,ANNALYNN,1
GIRL,ANNALYSIA,1
GIRL,ANNALYSSA,1
GIRL,ANNA'MARIE,1
GIRL,ANNASOPHIA,1
GIRL,ANNE,2
GIRL,ANNE ELIZABETH,1
GIRL,ANNELI,1
GIRL,ANNELIES,1
GIRL,ANNERIS,1
GIRL,ANNEYVA,1
GIRL,ANNIE,9
GIRL,ANNIKA,3
GIRL,ANNISSA,1
GIRL,ANNMARIE,3
GIRL,ANNYLA,1
GIRL,ANNZLEE,1
GIRL,ANORA,1
GIRL,ANSLEE,1
GIRL,ANSON,1
GIRL,ANTANIQUE,1
GIRL,ANTONELLA,2
GIRL,ANUSKA,1
GIRL,ANVI,1
GIRL,ANVIKA,2
GIRL,ANYA,2
GIRL,ANYIA,1
GIRL,AOIFE,1
GIRL,AOLANIS,1
GIRL,APRIL,5
GIRL,ARABELLA,9
GIRL,ARABELLE,2
GIRL,ARACELI,3
GIRL,ARACELY,2
GIRL,ARALYN,1
GIRL,ARAMIE,1
GIRL,ARANTZA,1
GIRL,ARANZA,6
GIRL,ARAXIE,1
GIRL,ARBOR,1
GIRL,ARDELIA,1
GIRL,ARDYN,1
GIRL,AREESHA,1
GIRL,ARELI,1
GIRL,ARELY,2
GIRL,ARFA,1
GIRL,ARIA,35
GIRL,ARIAH,3
GIRL,ARIAM,1
GIRL,ARIANA,12
GIRL,ARIANA JO,1
GIRL,ARIANNA,16
GIRL,ARIANY,1
GIRL,ARIBELLA,1
GIRL,ARIEANA,1
GIRL,ARIEL,12
GIRL,ARIELENA,1
GIRL,ARIELLA,3
GIRL,ARIELLE,2
GIRL,ARIETTA,1
GIRL,ARIKA,2
GIRL,ARISA,1
GIRL,ARISHA,1
GIRL,ARISSA,1
GIRL,ARITZEL,1
GIRL,ARIVA,1
GIRL,ARIYA,1
GIRL,ARIYAH,1
GIRL,ARIYAN,1
GIRL,ARKISHA  MAISIE,1
GIRL,ARLENE,1
GIRL,ARLET,2
GIRL,ARLETH,2
GIRL,ARLETTE,2
GIRL,ARMANI,1
GIRL,ARREYON,1
GIRL,ARROW,1
GIRL,ARTEMIS,3
GIRL,ARWEN,1
GIRL,ARYA,8
GIRL,ARYAH,2
GIRL,ARYANA,2
GIRL,ARYANNA,2
GIRL,ARYIAH,1
GIRL,ARYN,1
GIRL,ASA,1
GIRL,ASANNAH,1
GIRL,ASHA,1
GIRL,ASHAH,1
GIRL,ASHARI,1
GIRL,ASHBY,1
GIRL,ASHLEY,20
GIRL,ASHLY,1
GIRL,ASHLYNNE,1
GIRL,ASHMI,1
GIRL,ASHTEN,2
GIRL,ASHTON,2
GIRL,ASHTYN,1
GIRL,ASHVI,1
GIRL,ASHWINI,1
GIRL,ASIA,3
GIRL,ASIA'LEE,1
GIRL,ASIL,1
GIRL,ASLYN,1
GIRL,ASPEN,7
GIRL,ASSAL,1
GIRL,ASSINAT,1
GIRL,ASTRID,1
GIRL,ASYA,1
GIRL,ATHENA,14
GIRL,ATLEE,1
GIRL,ATLEY,1
GIRL,ATZIRI,1
GIRL,AUBREE,8
GIRL,AUBREY,20
GIRL,AUBRIELLA,2
GIRL,AUBRIELLE,3
GIRL,AUBRION,1
GIRL,AUBURN,1
GIRL,AUDELIA,1
GIRL,AUDRA,2
